,titleId,start_year,genres,ordering,title,region,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross,worldwide_gross
11716,tt3659278,2014.0,Horror,2.0,Deadly Famous,US,"[53, 27]",385378,0.6,2014-04-09,7.0,1,,,,,
11717,tt3659388,2015.0,"Adventure,Drama,Sci-Fi",24.0,The Martian,US,"[18, 12, 878]",286217,22.856,2015-10-02,7.7,12172,46.0,"Oct 2, 2015","$108,000,000","$228,433,663","$655,271,443"
11718,tt3659388,2015.0,"Adventure,Drama,Sci-Fi",24.0,The Martian,US,"[18, 12, 878]",286217,22.856,2015-10-02,7.7,12172,46.0,"Oct 2, 2015","$108,000,000","$228,433,663","$655,271,443"
11719,tt3660770,2015.0,Documentary,1.0,Monkey Kingdom,US,[99],295592,5.659,2015-04-17,6.6,61,,,,,
11720,tt3661298,2015.0,Thriller,1.0,Septembers of Shiraz,US,"[18, 53]",352179,5.0680000000000005,2016-06-24,5.7,43,,,,,
11721,tt3661570,2018.0,"Comedy,Drama",2.0,Pretty Broken,US,"[35, 18]",539397,1.4,2018-05-01,5.0,1,,,,,
11722,tt3661676,2014.0,"Biography,Comedy,Documentary",1.0,Life After Death,US,[],298304,0.6,2014-02-01,10.0,1,,,,,
11723,tt3662066,2015.0,"Comedy,Drama,Music",7.0,One More Time,US,"[35, 18, 10402]",321030,2.293,2016-04-08,5.2,26,,,,,
11724,tt3662066,2015.0,"Comedy,Drama,Music",7.0,One More Time,US,"[35, 18, 10402]",321030,2.293,2016-04-08,5.2,26,,,,,
11725,tt3662778,2016.0,Drama,4.0,Americana,US,[],283734,1.168,2012-07-25,1.5,1,,,,,
11726,tt4991734,2016.0,Drama,1.0,Americana,US,[],283734,1.168,2012-07-25,1.5,1,,,,,
11727,tt7577920,2017.0,Sci-Fi,1.0,Americana,US,[],283734,1.168,2012-07-25,1.5,1,,,,,
11728,tt3662778,2016.0,Drama,4.0,Americana,US,[18],321029,0.6,2016-06-09,1.0,1,,,,,
11729,tt4991734,2016.0,Drama,1.0,Americana,US,[18],321029,0.6,2016-06-09,1.0,1,,,,,
11730,tt7577920,2017.0,Sci-Fi,1.0,Americana,US,[18],321029,0.6,2016-06-09,1.0,1,,,,,
11731,tt3663020,2016.0,Drama,3.0,So B. It,US,[],345932,0.6,2016-06-07,6.5,2,,,,,
11732,tt3663040,2013.0,"Action,Drama,Thriller",8.0,Heatstroke,US,[53],278334,2.713,2013-12-20,5.1,49,,,,,
11733,tt3663564,2016.0,"Drama,Thriller",1.0,Madtown,US,"[18, 53]",389301,2.499,2016-03-31,5.6,11,,,,,
11734,tt3663564,2016.0,"Drama,Thriller",1.0,Madtown,US,"[35, 10770]",520511,0.6,2017-05-05,2.0,1,,,,,
11735,tt3663718,2017.0,"Drama,Mystery,Thriller",1.0,August Falls,US,"[18, 9648, 53]",490687,0.6409999999999999,2017-04-17,2.0,1,,,,,
11736,tt3665498,2018.0,"Mystery,Sci-Fi,Thriller",11.0,Encounter,US,[27],396508,2.099,2016-04-05,3.4,7,,,,,
11737,tt3719434,2016.0,Horror,2.0,Encounter,US,[27],396508,2.099,2016-04-05,3.4,7,,,,,
11738,tt6162156,2013.0,"Action,Crime,Thriller",1.0,Encounter,US,[27],396508,2.099,2016-04-05,3.4,7,,,,,
11739,tt6613952,2018.0,Sci-Fi,2.0,Encounter,US,[27],396508,2.099,2016-04-05,3.4,7,,,,,
11740,tt3665498,2018.0,"Mystery,Sci-Fi,Thriller",11.0,Encounter,US,[878],529483,2.875,2018-02-15,3.1,10,,,,,
11741,tt3719434,2016.0,Horror,2.0,Encounter,US,[878],529483,2.875,2018-02-15,3.1,10,,,,,
11742,tt6162156,2013.0,"Action,Crime,Thriller",1.0,Encounter,US,[878],529483,2.875,2018-02-15,3.1,10,,,,,
11743,tt6613952,2018.0,Sci-Fi,2.0,Encounter,US,[878],529483,2.875,2018-02-15,3.1,10,,,,,
11744,tt3665760,2016.0,"Drama,Mystery,Thriller",2.0,If There's a Hell Below,US,"[18, 53, 9648]",378488,1.715,2016-01-24,4.7,7,,,,,
11745,tt3666210,2014.0,"Drama,Sci-Fi,Thriller",1.0,H.,US,"[53, 18, 878]",289180,2.157,2014-09-07,6.3,8,42.0,"Dec 31, 2014","$200,000",$0,$0
11746,tt3666492,2016.0,Horror,5.0,Beach Massacre at Kill Devil Hills,US,[27],470593,0.603,2016-10-27,5.0,1,,,,,
11747,tt3666492,2016.0,Horror,5.0,Beach Massacre at Kill Devil Hills,US,[27],470593,0.603,2016-10-27,5.0,1,,,,,
11748,tt3666644,2014.0,Horror,4.0,Scarewaves,US,[27],298091,1.4,2014-09-26,5.1,4,,,,,
11749,tt3667086,2014.0,"Drama,History",1.0,Barabbas,US,"[36, 18]",213386,1.744,2013-03-25,6.2,3,,,,,
11750,tt8553134,2019.0,"Biography,Crime,Drama",3.0,Barabbas,US,"[36, 18]",213386,1.744,2013-03-25,6.2,3,,,,,
11751,tt3671086,2016.0,Comedy,5.0,Natural Born Pranksters,US,[35],383524,1.626,2016-04-01,5.1,30,,,,,
11752,tt3671146,2012.0,"Drama,Romance",1.0,Blame,US,[18],422128,3.25,2018-01-05,5.9,39,,,,,
11753,tt4607722,2017.0,Drama,8.0,Blame,US,[18],422128,3.25,2018-01-05,5.9,39,,,,,
11754,tt3671146,2012.0,"Drama,Romance",1.0,Blame,US,[18],422128,3.25,2018-01-05,5.9,39,,,,,
11755,tt4607722,2017.0,Drama,8.0,Blame,US,[18],422128,3.25,2018-01-05,5.9,39,,,,,
11756,tt3671390,2015.0,Drama,2.0,When I'm with You,US,[],326271,0.6,2015-02-24,5.0,1,,,,,
11757,tt3672120,2017.0,Comedy,4.0,Pottersville,US,[35],413990,4.041,2017-11-10,5.2,52,,,,,
11758,tt3672742,2015.0,"Action,Adventure,Comedy",13.0,Turbo Kid,US,"[28, 12, 35, 878]",310135,7.3279999999999985,2015-08-28,6.6,377,,,,,
11759,tt3675066,2014.0,"Adventure,Documentary",2.0,Connected by Coffee,US,[],409629,0.6,2014-01-01,5.0,1,,,,,
